case_id,customer_id,customer_name,invoice_id,case_open_date,amount_due,days_overdue,priority,status,assigned_to,collector_id,collection_strategy,last_action_date,next_action_date,resolution_date,notes
CASE000001,CUST000001,Tata Tech Limited,INV0000006,2025-03-22,1028323.87,39,Critical,In Progress,Shalini Mishra,REP000039,Standard Follow-up,2025-04-13,2025-04-22,,
CASE000002,CUST000002,Reliance Tech Limited,INV0000011,2024-12-26,143854.67,126,Critical,Escalated,Amit Joshi,REP000042,Legal Action Warning,2025-01-20,2025-04-23,,
CASE000003,CUST000004,Bharti Tech Limited,INV0000031,2025-04-10,76612.46,16,Low,Open,Rakesh Joshi,REP000048,Standard Follow-up,2025-04-10,2025-04-21,,
CASE000004,CUST000005,HDFC Tech Limited,INV0000041,2025-02-07,337808.03,77,High,In Progress,Geeta Gupta,REP000020,Payment Plan,2025-03-29,2025-05-05,,
CASE000005,CUST000005,HDFC Tech Limited,INV0000045,2025-04-13,504881.05,17,High,Open,Sunita Gupta,REP000015,Standard Follow-up,2025-04-14,2025-05-02,,
CASE000006,CUST000006,Wipro Tech Limited,INV0000051,2025-03-25,928874.41,30,High,Open,Raj Mishra,REP000021,Standard Follow-up,2025-04-12,2025-05-05,,
CASE000007,CUST000007,Mahindra Tech Limited,INV0000062,2025-04-07,506534.71,16,High,Open,Rani Mishra,REP000034,Standard Follow-up,2025-04-08,2025-04-30,,
CASE000008,CUST000007,Mahindra Tech Limited,INV0000063,2024-12-20,232542.49,127,Critical,Pending Customer,Priya Mishra,REP000031,Legal Action Warning,2025-03-09,2025-05-02,,
CASE000009,CUST000008,Birla Tech Limited,INV0000072,2025-02-25,372325.60,62,High,Pending Customer,Sanjay Gupta,REP000007,Intensive Collection,2025-03-16,2025-04-27,,
CASE000010,CUST000009,Adani Tech Limited,INV0000082,2025-04-10,19057.73,22,Low,Open,Rakesh Gupta,REP000008,Standard Follow-up,2025-04-12,2025-05-07,,
CASE000011,CUST000009,Adani Tech Limited,INV0000085,2025-03-31,13909.45,31,Medium,In Progress,Rakesh Joshi,REP000048,Standard Follow-up,2025-04-04,2025-04-30,,
CASE000012,CUST000012,L&T Tech Limited,INV0000112,2025-04-17,53758.67,12,Low,In Progress,Rahul Joshi,REP000046,Standard Follow-up,2025-04-17,2025-05-01,,
CASE000013,CUST000013,ICICI Tech Limited,INV0000124,2025-04-17,81038.09,5,Low,Open,Shalini Mishra,REP000039,Standard Follow-up,2025-04-17,2025-05-04,,
CASE000014,CUST000014,SBI Tech Limited,INV0000131,2025-01-11,80874.20,107,Critical,Pending Customer,Rakesh Mishra,REP000028,Legal Action Warning,2025-04-17,2025-04-20,,
CASE000015,CUST000014,SBI Tech Limited,INV0000133,2025-01-02,150256.13,116,Critical,Pending Customer,Rani Mishra,REP000034,Settlement Offer,2025-02-21,2025-04-22,,
CASE000016,CUST000014,SBI Tech Limited,INV0000136,2025-02-06,390541.38,78,High,Open,Meena Gupta,REP000017,Intensive Collection,2025-02-26,2025-05-02,,
CASE000017,CUST000015,TCS Tech Limited,INV0000142,2025-03-06,99511.45,57,Medium,In Progress,Shalini Gupta,REP000019,Standard Follow-up,2025-03-08,2025-04-19,,
CASE000018,CUST000019,Indian Tech Limited,INV0000181,2025-04-17,93022.67,8,Low,In Progress,Sunil Joshi,REP000044,Standard Follow-up,2025-04-17,2025-04-23,,
CASE000019,CUST000019,Indian Tech Limited,INV0000182,2025-01-19,23452.79,101,Critical,In Progress,Vijay Mishra,REP000023,Legal Action Warning,2025-03-12,2025-05-08,,
CASE000020,CUST000021,Tata Info Limited,INV0000201,2025-04-09,1621959.74,14,Critical,In Progress,Sunil Joshi,REP000044,Standard Follow-up,2025-04-14,2025-04-27,,
CASE000021,CUST000022,Reliance Info Limited,INV0000212,2025-03-17,90403.72,39,Medium,Open,Meena Gupta,REP000017,Standard Follow-up,2025-03-22,2025-05-08,,
CASE000022,CUST000022,Reliance Info Limited,INV0000215,2025-04-11,38879.09,16,Low,Open,Rahul Mishra,REP000026,Standard Follow-up,2025-04-14,2025-05-02,,
CASE000023,CUST000022,Reliance Info Limited,INV0000217,2024-11-28,50071.62,155,Critical,In Progress,Pooja Gupta,REP000013,Legal Action Warning,2025-03-15,2025-05-05,,
CASE000024,CUST000023,Infosys Info Limited,INV0000222,2025-02-17,35955.25,74,High,Pending Customer,Amit Gupta,REP000002,Payment Plan,2025-03-05,2025-04-24,,
CASE000025,CUST000023,Infosys Info Limited,INV0000225,2025-04-05,35250.77,26,Low,Open,Raj Mishra,REP000021,Standard Follow-up,2025-04-16,2025-04-19,,
