dispute_id,invoice_id,customer_id,customer_name,open_date,dispute_amount,dispute_type,status,assigned_to,handler_id,resolution_date,resolution_notes,description
DISP000001,INV0000001,CUST000001,Tata Tech Limited,2025-03-05,234219.08,Delivery Delay,Under Investigation,Priya Gupta,REP000011,,,Customer disputes delivery delay on invoice INV0000001
DISP000002,INV0000016,CUST000002,Reliance Tech Limited,2024-11-10,12954.04,Price Discrepancy,Under Investigation,Kavita Gupta,REP000018,,,Customer disputes price discrepancy on invoice INV0000016
DISP000003,INV0000021,CUST000003,Infosys Tech Limited,2025-03-31,101958.35,Service Not Rendered,Under Investigation,Shalini Mishra,REP000039,,,Customer disputes service not rendered on invoice INV0000021
DISP000004,INV0000054,CUST000006,Wipro Tech Limited,2025-02-01,136650.35,Contract Terms,Resolved - Accepted,Anil Mishra,REP000025,2025-02-11,Credit memo issued for 136650.35,Customer disputes contract terms on invoice INV0000054
DISP000005,INV0000072,CUST000008,Birla Tech Limited,2024-12-13,159612.85,Contract Terms,Under Investigation,Sanjay Mishra,REP000027,,,Customer disputes contract terms on invoice INV0000072
DISP000006,INV0000073,CUST000008,Birla Tech Limited,2025-02-04,67845.45,Price Discrepancy,Resolved - Rejected,Sunil Mishra,REP000024,2025-02-10,Dispute evidence insufficient,Customer disputes price discrepancy on invoice INV0000073
DISP000007,INV0000144,CUST000015,TCS Tech Limited,2024-11-25,150987.39,Service Not Rendered,Resolved - Accepted,Raj Mishra,REP000021,2024-12-13,Credit memo issued for 150987.39,Customer disputes service not rendered on invoice INV0000144
DISP000008,INV0000151,CUST000016,Bajaj Tech Limited,2025-04-06,61261.75,Service Not Rendered,Open,Ashok Gupta,REP000010,,,Customer disputes service not rendered on invoice INV0000151
DISP000009,INV0000158,CUST000016,Bajaj Tech Limited,2025-03-24,14548.67,Quality Issue,Awaiting Customer,Sunil Mishra,REP000024,,,Customer disputes quality issue on invoice INV0000158
DISP000010,INV0000173,CUST000018,Hindustan Tech Limited,2024-11-12,188041.73,Price Discrepancy,Resolved - Rejected,Pooja Mishra,REP000033,2024-12-13,Dispute evidence insufficient,Customer disputes price discrepancy on invoice INV0000173
DISP000011,INV0000201,CUST000021,Tata Info Limited,2025-01-05,26895.40,Quality Issue,Resolved - Accepted,Shalini Gupta,REP000019,2025-01-19,Credit memo issued for 26895.40,Customer disputes quality issue on invoice INV0000201
DISP000012,INV0000234,CUST000024,Bharti Info Limited,2024-11-18,129360.54,Wrong Item,Resolved - Rejected,Rahul Mishra,REP000026,2024-12-20,Dispute evidence insufficient,Customer disputes wrong item on invoice INV0000234
DISP000013,INV0000243,CUST000025,HDFC Info Limited,2025-03-29,179903.25,Quality Issue,Under Investigation,Pooja Gupta,REP000013,,,Customer disputes quality issue on invoice INV0000243
DISP000014,INV0000251,CUST000026,Wipro Info Limited,2025-03-23,29358.28,Duplicate Billing,Under Investigation,Vijay Gupta,REP000003,,,Customer disputes duplicate billing on invoice INV0000251
DISP000015,INV0000265,CUST000027,Mahindra Info Limited,2025-01-14,70175.66,Quality Issue,Under Investigation,Sunil Gupta,REP000004,,,Customer disputes quality issue on invoice INV0000265
DISP000016,INV0000314,CUST000032,L&T Info Limited,2024-10-30,80901.22,Quantity Discrepancy,Under Investigation,Priya Mishra,REP000031,,,Customer disputes quantity discrepancy on invoice INV0000314
DISP000017,INV0000322,CUST000033,ICICI Info Limited,2025-03-19,368015.09,Price Discrepancy,Awaiting Customer,Geeta Mishra,REP000040,,,Customer disputes price discrepancy on invoice INV0000322
DISP000018,INV0000326,CUST000033,ICICI Info Limited,2025-04-07,1400840.65,Price Discrepancy,Under Investigation,Geeta Mishra,REP000040,,,Customer disputes price discrepancy on invoice INV0000326
DISP000019,INV0000354,CUST000036,Bajaj Info Limited,2025-02-06,1013676.81,Duplicate Billing,Resolved - Accepted,Pooja Mishra,REP000033,2025-03-08,Credit memo issued for 1013676.81,Customer disputes duplicate billing on invoice INV0000354
