interaction_id,customer_id,customer_name,interaction_date,interaction_type,purpose,summary,initiated_by,handled_by,rep_id,related_invoice,outcome,notes
INT0000001,CUST000001,Tata Tech Limited,2024-12-03,Call,Collection Call,Customer promised payment by next week,Company,Shalini Mishra,REP000039,INV0000003,Follow-up Required,
INT0000002,CUST000001,Tata Tech Limited,2024-11-26,Call,Dispute Resolution,Customer reported incorrect billing,Company,Sanjay Mishra,REP000027,INV0000004,Resolved,
INT0000003,CUST000001,Tata Tech Limited,2025-02-01,Email,Payment Confirmation,Verified payment receipt for invoice,Customer,Sanjay Joshi,REP000047,INV0000002,Pending,
INT0000011,CUST000002,Reliance Tech Limited,2025-02-12,Chat,Collection Call,Customer disputed invoice amount,Company,Shalini Mishra,REP000039,INV0000016,Follow-up Required,
INT0000012,CUST000002,Reliance Tech Limited,2025-04-05,Call,Collection Call,Customer promised payment by next week,Company,Vijay Joshi,REP000043,INV0000016,Resolved,
INT0000013,CUST000002,Reliance Tech Limited,2025-01-08,Video Call,Collection Call,Customer disputed invoice amount,Company,Rajesh Joshi,REP000049,INV0000015,Pending,
INT0000014,CUST000002,Reliance Tech Limited,2025-01-08,Call,Collection Call,Discussed payment of overdue invoices,Company,Amit Joshi,REP000042,INV0000016,Follow-up Required,
INT0000015,CUST000002,Reliance Tech Limited,2025-03-28,Call,Payment Confirmation,Verified payment receipt for invoice,Company,Amit Mishra,REP000022,INV0000014,Resolved,
INT0000021,CUST000003,Infosys Tech Limited,2025-03-26,Site Visit,Collection Call,Explained late payment fees and implications,Company,Ashok Gupta,REP000010,INV0000023,Follow-up Required,
INT0000022,CUST000003,Infosys Tech Limited,2024-11-04,Meeting,General Inquiry,Answered questions about payment methods,Customer,Anita Mishra,REP000036,,Resolved,
INT0000023,CUST000003,Infosys Tech Limited,2024-10-11,Meeting,Collection Call,Discussed payment of overdue invoices,Company,Sunil Mishra,REP000024,INV0000023,Pending,
INT0000031,CUST000004,Bharti Tech Limited,2024-12-09,Video Call,General Inquiry,Provided account balance information,Company,Rahul Mishra,REP000026,,Follow-up Required,
INT0000032,CUST000004,Bharti Tech Limited,2025-01-03,Web Portal,Account Review,Discussed upcoming orders and payment terms,Company,Rahul Mishra,REP000026,,Resolved,
INT0000033,CUST000004,Bharti Tech Limited,2024-11-06,Web Portal,Account Review,Addressed concerns about recent shipments,Company,Priya Gupta,REP000011,,Pending,
INT0000041,CUST000005,HDFC Tech Limited,2024-11-22,Chat,Collection Call,Arranged payment schedule for overdue amounts,Company,Rajesh Joshi,REP000049,INV0000043,Follow-up Required,
INT0000042,CUST000005,HDFC Tech Limited,2024-11-17,Call,Payment Confirmation,Reconciled payment with outstanding invoices,Customer,Sanjay Mishra,REP000027,INV0000043,Resolved,
INT0000043,CUST000005,HDFC Tech Limited,2024-12-08,Meeting,Collection Call,Explained late payment fees and implications,Company,Pooja Gupta,REP000013,INV0000043,Pending,
INT0000044,CUST000005,HDFC Tech Limited,2025-04-10,Meeting,Collection Call,Escalated to manager due to payment delays,Company,Anil Joshi,REP000045,INV0000043,Follow-up Required,
INT0000045,CUST000005,HDFC Tech Limited,2024-10-19,Meeting,Collection Call,Customer promised payment by next week,Company,Sunil Gupta,REP000004,INV0000043,Resolved,
INT0000051,CUST000006,Wipro Tech Limited,2024-10-07,Web Portal,Collection Call,Escalated to manager due to payment delays,Company,Rajesh Gupta,REP000009,INV0000051,Follow-up Required,
