customer_id,customer_name,primary_contact,email,phone,address_line1,city,state,postal_code,country,gst_number,payment_terms,credit_limit,available_credit,industry_sector,customer_category,onboarding_date,status
CUST000001,Tata Tech Limited,Raj Sharma,raj.sharma@tatatechlimited.com,+918192090696,51, MG Road,Mumbai,Maharashtra,472419,India,27ABCDE0001ZZ,Net 30,29848888,15877486.71,Manufacturing,Large,2023-02-17,Active
CUST000002,Reliance Tech Limited,Amit Sharma,amit.sharma@reliancetechlimited.com,+917058586091,76, MG Road,Delhi,Delhi,414978,India,07ABCDE0011ZZ,Net 30,7597247,5987013.84,IT Services,Medium,2019-03-26,Active
CUST000003,Infosys Tech Limited,Vijay Sharma,vijay.sharma@infosystechlimited.com,+917591845982,33, MG Road,Bangalore,Karnataka,412585,India,29ABCDE0021ZZ,Net 45,2076903,1882484.45,Banking & Finance,Medium,2021-08-18,Active
CUST000004,Bharti Tech Limited,Sunil Sharma,sunil.sharma@bhartitechlimited.com,+918093419963,3, MG Road,Hyderabad,Telangana,451001,India,36ABCDE0031ZZ,COD,527219,459836.38,Pharmaceuticals,Small,2022-02-17,Active
CUST000005,HDFC Tech Limited,Anil Sharma,anil.sharma@hdfctechlimited.com,+917373637518,71, MG Road,Chennai,Tamil Nadu,462376,India,33ABCDE0041ZZ,Net 30,1892706,1629392.65,Retail,Medium,2020-05-21,Active
CUST000006,Wipro Tech Limited,Rahul Sharma,rahul.sharma@wiprotechlimited.com,+919382657249,58, MG Road,Kolkata,West Bengal,469877,India,19ABCDE0051ZZ,Net 30,26510270,21092132.50,Real Estate,Large,2018-11-18,Active
CUST000007,Mahindra Tech Limited,Sanjay Sharma,sanjay.sharma@mahindratechlimited.com,+919939960291,94, MG Road,Pune,Maharashtra,433062,India,27ABCDE0061ZZ,Net 30,5417220,4721839.96,Telecommunications,Medium,2018-05-23,Active
CUST000008,Birla Tech Limited,Rakesh Sharma,rakesh.sharma@birlatechlimited.com,+917203306844,91, MG Road,Ahmedabad,Gujarat,407024,India,24ABCDE0071ZZ,Net 30,11940340,5250574.26,Healthcare,Large,2022-03-28,Active
CUST000009,Adani Tech Limited,Rajesh Sharma,rajesh.sharma@adanitechlimited.com,+919684164984,95, MG Road,Jaipur,Rajasthan,457572,India,08ABCDE0081ZZ,Net 60,270879,208346.44,Automotive,Small,2024-12-13,Active
CUST000010,JSW Tech Limited,Ashok Sharma,ashok.sharma@jswtechlimited.com,+918883420510,63, MG Road,Lucknow,Uttar Pradesh,405887,India,09ABCDE0091ZZ,Net 30,5963998,5135752.44,Energy,Medium,2018-10-29,Active
CUST000011,Godrej Tech Limited,Priya Sharma,priya.sharma@godrejtechlimited.com,+917923739977,13, MG Road,Chandigarh,Punjab,425490,India,03ABCDE0101ZZ,Net 30,2314076,766543.77,Hospitality,Medium,2023-02-20,Active
