interaction_id,customer_id,customer_name,interaction_date,interaction_type,purpose,summary,initiated_by,handled_by,rep_id,related_invoice,outcome,notes
INT0000001,CUST000001,Tata Tech Limited,2025-04-13,Call,Collection Call,Customer confirmed payment has been initiated,Company,Ashok Joshi,REP000050,INV0000006,Follow-up Required,
INT0000002,CUST000001,Tata Tech Limited,2025-04-13,Site Visit,Collection Call,Customer promised payment by next week,Company,Anita Mishra,REP000036,INV0000006,Resolved,
INT0000003,CUST000001,Tata Tech Limited,2025-01-05,Call,Collection Call,Customer disputed invoice amount,Company,Raj Gupta,REP000001,INV0000006,Pending,
INT0000004,CUST000001,Tata Tech Limited,2025-04-07,Email,Collection Call,Left voicemail regarding overdue payment,Company,Vijay Mishra,REP000023,INV0000006,Follow-up Required,
INT0000005,CUST000001,Tata Tech Limited,2025-02-13,Site Visit,Collection Call,Arranged payment schedule for overdue amounts,Company,Shalini Gupta,REP000019,INV0000006,Resolved,
INT0000011,CUST000002,Reliance Tech Limited,2024-10-03,Site Visit,Collection Call,Customer confirmed payment has been initiated,Company,Sanjay Gupta,REP000007,INV0000011,Follow-up Required,
INT0000012,CUST000002,Reliance Tech Limited,2025-02-13,Call,Collection Call,Arranged payment schedule for overdue amounts,Company,Amit Mishra,REP000022,INV0000011,Resolved,
INT0000013,CUST000002,Reliance Tech Limited,2025-02-09,Web Portal,Collection Call,Customer promised payment by next week,Company,Rani Gupta,REP000014,INV0000011,Pending,
INT0000014,CUST000002,Reliance Tech Limited,2024-10-20,Email,Dispute Resolution,Processing refund for returned items,Company,Rahul Gupta,REP000006,INV0000011,Follow-up Required,
INT0000015,CUST000002,Reliance Tech Limited,2025-04-12,Call,Collection Call,Explained late payment fees and implications,Company,Rajesh Mishra,REP000029,INV0000011,Resolved,
INT0000021,CUST000003,Infosys Tech Limited,2024-11-10,Video Call,Dispute Resolution,Resolved shipping discrepancy,Company,Sanjay Mishra,REP000027,INV0000021,Follow-up Required,
INT0000031,CUST000004,Bharti Tech Limited,2024-10-18,Site Visit,Dispute Resolution,Processing refund for returned items,Company,Raj Gupta,REP000001,INV0000032,Follow-up Required,
INT0000032,CUST000004,Bharti Tech Limited,2024-10-10,Web Portal,Dispute Resolution,Processing refund for returned items,Company,Rahul Joshi,REP000046,INV0000031,Resolved,
INT0000033,CUST000004,Bharti Tech Limited,2024-10-08,Web Portal,Dispute Resolution,Customer reported incorrect billing,Company,Pooja Mishra,REP000033,INV0000032,Pending,
INT0000034,CUST000004,Bharti Tech Limited,2024-11-22,Site Visit,Collection Call,Arranged payment schedule for overdue amounts,Company,Anita Mishra,REP000036,INV0000031,Follow-up Required,
INT0000041,CUST000005,HDFC Tech Limited,2025-04-03,Site Visit,Collection Call,Customer promised payment by next week,Company,Amit Mishra,REP000022,INV0000041,Follow-up Required,
INT0000042,CUST000005,HDFC Tech Limited,2025-02-25,Site Visit,Payment Confirmation,Verified payment receipt for invoice,Customer,Rakesh Mishra,REP000028,INV0000041,Resolved,
INT0000043,CUST000005,HDFC Tech Limited,2024-11-02,Email,Collection Call,Discussed payment of overdue invoices,Company,Anita Mishra,REP000036,INV0000041,Pending,
